Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	br_lens[78]	br_lens[79]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-6221.45	-6222.08	0.631962	0.02677947	11.83212	0.0120075	0.0345967	0.0255452	0.0411436	0.035386	0.0619866	0.0323246	0.0727416	0.0232661	0.0208646	0.0464505	0.00881319	0.0265483	0.0185267	0.0710349	0.196958	0.0182255	0.0245468	0.0208135	0.0679345	0.100107	0.140691	0.0466363	0.0167972	0.0343176	0.0374778	0.00748148	0.0297661	0.010428	0.188572	0.0441391	0.0584982	0.00317093	0.0071445	0.036594	0.164914	0.122446	0.0635992	0.0150644	0.138164	0.0172271	0.0102483	0.010754	0.0764581	0.0360571	0.0674428	0.186585	0.16341	0.062673	0.0106546	0.309398	0.0436295	0.000252959	0.0784405	0.00235555	0.443428	0.264728	0.00437734	0.0746611	0.00145333	0.113739	0.0915173	0.0162226	0.0839648	0.00458266	0.0711248	0.0666755	0.0765615	0.0365399	0.0800625	0.0334651	0.178152	0.00622337	0.126527	0.0628596	0.023611	0.137433	0.0903221	0.0896021	1.84135e-23	6.41565e-12	3.62194e-05	3.99996	5.379143
10	-3080.38	-3108.52	28.1335	0.09264736	19.2581	0.0301066	0.0241552	0.0131768	0.00669723	0.0076828	0.0367945	0.0120301	0.136976	0.0252646	0.0417373	0.0464505	0.0149378	0.00474137	0.0067949	0.0614123	0.183285	0.0672557	0.0721537	0.0110496	0.0250046	0.0303109	0.0425814	0.0199714	0.0112559	0.0227038	0.00615474	0.00485939	0.0132166	0.0173853	0.00795496	0.0344015	0.0286255	0.00229541	0.0150897	0.0189422	0.0958791	0.052045	0.0783458	0.0233731	0.0533833	0.0164158	0.00794762	0.0331634	0.0376177	0.0117407	0.0910949	0.208729	0.0808313	0.0589367	0.0193828	0.290486	0.044806	0.000234121	0.0302465	0.00158663	0.142809	0.134072	0.00195506	0.0155527	0.000831734	0.0461374	0.0709715	0.0883462	0.0493088	0.0051675	0.033448	0.0458606	0.0316842	0.0107143	0.056298	0.0517968	0.19332	0.0212894	0.205485	0.0137957	0.0193869	0.119598	0.0615714	0.0354579	1.75437e-07	0.000622732	0.0746793	3.9247	3.79456
20	-2853.6	-2876.36	22.7606	0.4488062	16.74722	0.0612621	0.0125773	0.00839044	0.0170961	0.0102866	0.0223082	0.0230516	0.236856	0.0316183	0.0701735	0.0231378	0.00656596	0.00375757	0.000913788	0.0583227	0.200714	0.0437309	0.123804	0.0147599	0.0122243	0.0442374	0.0193104	0.0093672	0.0314149	0.00426422	0.0124221	0.000851571	0.00793443	0.0252858	0.00756707	0.0202758	0.0286255	0.00445963	0.111054	0.0100502	0.0454702	0.0403048	0.0297393	0.0205045	0.0148687	0.0426759	0.0326776	0.0297361	0.0219712	0.0287429	0.160284	0.474675	0.0258809	0.0296984	0.0320588	0.0897665	0.138676	0.000507516	0.0338239	0.00315966	0.20781	0.0924435	0.00125893	0.00849454	0.000722604	0.0118559	0.074433	0.106808	0.0212261	0.00553574	0.020111	0.0199337	0.0189318	0.00807191	0.0480057	0.0511288	0.193596	0.0425419	0.102816	0.0267455	0.0648767	0.134659	0.122876	0.0352538	0.0243387	0.217188	0.779122	2.97935	4.034027
30	-2795.09	-2772.77	-22.3166	0.9420874	10.56679	0.0925971	0.0266182	0.0100259	0.00471622	0.0177887	0.0107701	0.0357218	0.203477	0.0566857	0.144552	0.0232456	0.00920588	0.00768116	0.000394135	0.065687	0.398679	0.0792162	0.260092	0.0448415	0.0146664	0.129653	0.0110237	0.0182321	0.0176564	0.00497505	0.00898653	0.000708201	0.0165753	0.033461	0.00443826	0.0578379	0.0113279	0.00736977	0.173402	0.0467446	0.0300508	0.0220144	0.118693	0.0319184	0.00302749	0.0960278	0.129303	0.219025	0.0580193	0.0240912	0.241714	0.715487	0.0291365	0.017948	0.014196	0.290605	0.159851	0.00121746	0.0205153	0.00156102	0.358617	0.226054	0.00310773	0.013367	0.000466728	0.0482383	0.0865734	0.2871	0.0377164	0.00794999	0.0202189	0.0664128	0.0545365	0.00622548	0.059779	0.074773	0.496611	0.130987	0.36304	0.0270196	0.044589	0.153613	0.382485	0.0638536	0.125259	0.458625	0.9897	2.42642	7.286788
40	-2791.19	-2751.09	-40.0928	1.390048	7.818132	0.165223	0.0429808	0.0161793	0.00706072	0.00408866	0.0133665	0.0552514	0.41497	0.0574257	0.314955	0.0109979	0.00789106	0.00996388	0.00210745	0.0329935	0.569715	0.0533795	0.30175	0.0284006	0.0123688	0.0574209	0.00639302	0.0128811	0.0642955	0.00210823	0.00434923	0.00118511	0.0250444	0.0685877	0.00719338	0.0542805	0.0129575	0.0126059	0.189661	0.0331075	0.0158004	0.045841	0.134055	0.130009	0.00212687	0.0789607	0.175499	0.203743	0.164594	0.0287126	0.238943	0.90181	0.0240418	0.0112293	0.00856938	0.275286	0.223469	0.00189079	0.0124847	0.00572144	0.396353	0.260915	0.00420869	0.0206367	0.000233898	0.0677803	0.11753	0.281768	0.070442	0.0197958	0.00819669	0.13018	0.0359618	0.0213725	0.104378	0.16703	0.395185	0.247798	0.604275	0.0351853	0.0819358	0.34864	0.220941	0.0944495	0.207827	0.569169	1.04325	2.17975	9.091118
50	-2757.16	-2713.23	-43.9269	1.633264	8.682557	0.624605	0.0496396	0.0209142	0.0140926	0.00602011	0.0144911	0.0390361	0.428429	0.062584	0.316352	0.0121585	0.01018	0.00520151	0.00462428	0.0433852	0.515371	0.0987069	0.277575	0.105506	0.0184072	0.0783742	0.00511007	0.0145415	0.0753675	0.00117481	0.0057218	0.00411858	0.0180153	0.0550727	0.0183026	0.0337609	0.0116977	0.022734	0.234865	0.0459554	0.0360009	0.0417506	0.0999434	0.118118	0.00206862	0.174222	0.0990977	0.544109	0.136444	0.0525911	0.20679	0.762888	0.246136	0.00954137	0.0175388	0.180407	0.187997	0.00148019	0.0154884	0.0044489	0.445602	0.136464	0.000847824	0.0425329	0.00029618	0.0743501	0.122857	0.251002	0.107772	0.0377223	0.0123387	0.162243	0.0509133	0.0196042	0.120594	0.178901	0.224382	0.250015	0.458617	0.0475055	0.0735097	0.194824	0.124423	0.167395	0.245194	0.609333	1.05738	2.0881	9.53386
60	-2693.8	-2644.45	-49.3459	1.77773	7.951148	0.763055	0.0463847	0.0267786	0.0104257	0.00375037	0.0122396	0.0704439	0.429759	0.0335367	0.326759	0.0134765	0.00797375	0.0124538	0.00479617	0.0740473	0.0820012	0.206852	0.0831117	0.109503	0.0336409	0.0751897	0.00372679	0.010461	0.0375953	0.00164136	0.00645106	0.00176666	0.0228864	0.0931717	0.0065095	0.0327663	0.00257677	0.0226158	0.174236	0.0349578	0.0632883	0.0605511	0.0793104	0.0919884	0.00215911	0.0914885	0.10688	0.620657	0.113556	0.0510424	0.385578	0.631978	0.683055	0.026704	0.0159487	0.218303	0.193467	0.0055683	0.0263352	0.00704887	0.609956	0.122759	0.00237222	0.0235732	0.000341923	0.0905375	0.088345	0.462665	0.0913886	0.0314174	0.00318708	0.102507	0.133018	0.0130809	0.174812	0.122003	0.338468	0.296176	0.520134	0.0661026	0.315083	0.066127	0.0814671	0.110324	0.265217	0.629085	1.06328	2.04241	10.21829
70	-2694.09	-2636.39	-57.6962	1.660007	7.011556	0.535692	0.076855	0.0123328	0.00764114	0.00347322	0.00549545	0.0229364	0.487906	0.060155	0.356692	0.0179085	0.00588948	0.0166525	0.00267502	0.112252	0.0525838	0.210246	0.0952858	0.0878714	0.0479425	0.152059	0.00654158	0.0132618	0.0590504	0.000714491	0.00832393	0.00108937	0.0159409	0.149014	0.0083938	0.0434965	0.00516064	0.00385523	0.160373	0.0681672	0.0262557	0.111214	0.134423	0.105568	0.00585049	0.109906	0.0597502	0.792215	0.19725	0.0976723	0.837677	0.725551	0.421	0.0260078	0.00801408	0.250686	0.364285	0.00440655	0.0404028	0.00166984	0.79579	0.0596497	0.00280357	0.0419392	0.000236829	0.122393	0.163261	0.341034	0.0814982	0.0767852	0.00868278	0.116958	0.0774295	0.0140062	0.0916531	0.122626	0.731181	0.227423	0.459576	0.0254708	0.248679	0.0870586	0.151135	0.124206	0.249016	0.61319	1.05858	2.07921	11.40521
80	-2697.52	-2640.03	-57.4869	1.37337	7.852173	0.27477	0.0256301	0.00597562	0.0126759	0.0130159	0.00368998	0.012645	0.465985	0.0266558	0.495717	0.00669598	0.0301691	0.00961377	0.00222586	0.155704	0.0468207	0.0874855	0.0776676	0.0801202	0.0438361	0.0914638	0.0149256	0.0139282	0.101926	0.000700811	0.00983594	0.00111392	0.0177509	0.0383395	0.0192755	0.083458	0.00535464	0.00375592	0.291844	0.0171936	0.0138277	0.0623232	0.0960528	0.105027	0.00265514	0.147895	0.0902968	0.962235	0.16031	0.25699	0.277915	0.660713	0.481694	0.0371327	0.0111467	0.148477	0.403703	0.0108003	0.0442948	0.00447972	0.565714	0.187844	0.00239258	0.0569728	0.000234683	0.125826	0.0898352	0.322378	0.0967737	0.0565418	0.00912243	0.116659	0.0325549	0.0641941	0.17741	0.307964	0.688509	0.322616	0.488739	0.0332431	0.463058	0.0825005	0.360455	0.0944018	0.205081	0.566026	1.04203	2.18686	11.31187
90	-2699.78	-2644.82	-54.9686	1.458834	6.28884	0.307844	0.0199108	0.0130803	0.0091018	0.0135464	0.00443929	0.0146573	0.463433	0.0803003	0.245114	0.00767572	0.007198	0.0281854	0.00281018	0.114442	0.0383608	0.199437	0.0588324	0.0396341	0.0167722	0.0983245	0.0270411	0.0162811	0.077482	0.000635525	0.0576166	0.00273455	0.0228218	0.0283717	0.0322731	0.0372079	0.0150143	0.00144706	0.16641	0.0549793	0.039792	0.0579662	0.071985	0.0174531	0.000730459	0.138639	0.0377961	1.12741	0.145971	0.160722	0.328763	0.687722	0.422673	0.031308	0.00980614	0.388052	0.266125	0.0220082	0.0553635	0.0353066	0.617944	0.205146	0.00368907	0.069595	0.000271785	0.260372	0.064611	0.397357	0.0733678	0.0303132	0.0153772	0.131753	0.0325066	0.0238537	0.105519	0.152247	0.603162	0.186006	0.722519	0.0310507	0.479062	0.0318953	0.194705	0.169301	0.218893	0.581558	1.04791	2.15164	10.97063
