Iteration	Posterior	Likelihood	Prior	alpha_morpho[1]	alpha_morpho[2]	alpha_morpho[3]	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	br_lens[78]	br_lens[79]	tree_length
0	-1807.154	-1662.706	-144.4473	0.0318763	1.20615	2.24387	2.294969	0.178946	0.413872	0.398326	0.609237	0.220794	0.589896	0.646877	1.22919	0.10365	0.215608	0.567846	0.0357757	0.248621	0.0960797	0.811584	0.121753	0.0776984	0.412581	0.503971	0.00803856	0.053021	0.198848	0.0672309	0.256485	1.56742	0.706573	0.377136	0.46087	0.579553	0.185848	0.450134	0.17326	0.0455203	1.31706	0.0875391	1.176	0.436495	0.00992376	1.27846	0.424443	0.047433	1.17827	0.955142	0.024058	0.0596338	0.21263	0.0117998	0.566178	0.268358	0.546646	0.00218801	0.0821596	0.0920841	0.13067	0.617789	0.602273	0.705263	0.373423	0.245495	0.111842	0.0332733	1.15773	0.0736866	0.592889	0.944084	1.0175	0.0302115	0.336249	1.19692	0.223355	0.25518	0.434851	0.361509	0.763285	0.0278789	0.811622	0.246282	1.0614	0.074255	33.81766
10	-1093.867	-951.4071	-142.4595	0.103807	0.515834	0.782468	2.833317	0.0888052	0.217777	0.236222	0.141044	0.297976	0.13718	0.252349	0.849748	0.145993	0.56189	0.45519	0.0660544	0.39128	0.011661	0.6342	0.28223	0.135676	0.748756	0.195896	0.0156631	0.0981849	0.0804332	0.25615	0.731451	0.725441	0.148256	0.0787337	0.229322	0.24714	0.0693347	0.415565	0.181886	0.0282849	0.700472	0.107642	0.326463	0.677451	0.0547692	0.441803	0.254015	0.0832381	1.09714	0.965331	0.172054	0.155967	0.0976496	0.0373773	0.490267	0.743054	1.06402	0.00443907	0.121447	0.255088	0.178442	0.67353	0.202147	0.458109	0.387412	0.181902	0.0582869	0.029577	0.857656	0.112523	1.36339	1.2926	2.22873	0.0371023	0.0527435	1.29783	0.844343	0.358544	0.995148	0.383947	1.59012	0.0373611	1.91574	0.0435957	0.569443	0.10653	33.2622
20	-1051.342	-904.8	-146.5421	0.178109	0.399057	0.841832	2.457531	0.135698	0.357644	0.138363	0.059406	0.472688	0.123501	0.297221	0.714136	0.172603	1.19413	0.08986	0.054614	0.089892	0.0242921	0.244613	0.0669261	0.165944	0.408499	0.2556	0.0144112	0.0927924	0.0586329	0.138338	0.457817	0.229966	0.0868076	0.114588	0.0856218	0.530149	0.0243501	0.158144	0.261403	0.0854201	0.417621	0.0972505	0.234204	0.663527	0.0915514	1.17758	0.0541208	0.0553455	1.14072	0.781147	0.275496	0.231915	0.0607258	0.0826383	0.371508	0.527582	1.69451	0.0187438	0.259328	0.371521	1.44055	1.1264	0.480064	1.44617	0.389614	0.395285	0.0620258	0.0168555	1.13961	0.0503845	1.13981	0.445058	1.45058	0.0580258	0.0715885	1.08897	0.880693	0.274838	1.41081	0.453589	0.949877	0.128562	3.21742	0.239362	0.94325	0.148771	35.45927
30	-1018.562	-872.6673	-145.8951	0.415132	0.469423	0.771877	2.486241	1.10924	0.806895	0.0759665	0.0900698	0.116519	0.159446	0.442927	1.6123	0.171619	0.627385	0.094336	0.173679	0.0941199	0.0948059	0.134485	0.0705085	0.467263	0.19661	0.191415	0.00669743	0.187582	0.112571	0.278883	0.19914	0.148606	0.0959448	0.09095	0.200135	0.154706	0.0535266	0.120232	0.143533	0.113886	0.260059	0.0878571	0.10209	0.135172	0.184835	0.84503	0.0334035	0.0309606	1.79193	0.698161	0.727296	0.171253	0.0395239	0.258541	0.590163	0.308362	1.58557	0.022363	0.157721	0.952747	0.388786	0.303802	0.196961	1.39969	0.324141	0.898044	0.0554606	0.00689648	1.52977	0.120189	1.16332	0.321253	2.01184	0.0562404	0.0946399	0.983041	0.90307	0.190263	1.46962	0.177159	1.46866	0.0251684	2.6938	0.211888	0.296536	0.151559	35.06082
40	-1017.583	-867.9293	-149.6541	0.854243	0.420096	0.62412	2.396655	2.14473	0.34896	0.115091	0.0550687	0.22214	0.0983976	0.296183	0.757987	0.0424461	1.06135	0.120149	0.103867	0.0325658	0.0927082	0.392234	0.136414	1.20582	0.271569	0.244371	0.0194391	0.373567	0.226084	0.407303	0.523676	0.129659	0.274382	0.372218	0.126941	0.0853444	0.0900949	0.182776	0.155234	0.140742	0.213487	0.0579071	0.0318578	0.110285	0.360512	0.449513	0.030056	0.041353	1.47192	0.367834	1.19	0.235599	0.0255406	0.618931	0.629919	0.382297	1.77592	0.0183486	0.116015	0.581734	0.246199	0.194484	0.156961	0.627935	0.574021	1.04149	0.0646728	0.00426312	2.06192	0.0496069	1.69813	0.229484	1.1374	0.0284441	0.0273878	2.17283	1.32885	0.272055	1.84831	0.30389	0.578405	0.201448	1.14709	0.503636	0.442621	0.136543	36.63662
50	-1002.53	-860.5445	-141.9854	1.15177	0.414365	0.756142	2.334769	0.883622	0.90947	0.142711	0.0862893	0.0799714	0.0614657	0.3247	0.607935	0.0184074	0.617712	0.163133	0.0417861	0.0467386	0.136622	0.473416	0.152438	0.866178	0.147969	0.12004	0.0336521	1.52197	0.0899671	0.268407	0.293412	0.122689	0.136422	0.44033	0.151494	0.0161305	0.0247903	0.253196	0.0463168	0.135429	0.187795	0.0745914	0.0402673	0.232875	0.50753	0.152653	0.0276459	0.040374	1.37984	0.170841	0.404768	0.174908	0.0199155	1.03193	0.719766	0.36192	2.37361	0.0214352	0.112976	0.191189	0.0925359	0.223276	0.0764506	0.887473	0.492757	0.743755	0.0761104	0.00452317	1.60846	0.0397898	1.69813	0.302585	0.957735	0.0594613	0.109718	2.57738	1.45105	0.304775	0.36268	0.183092	0.647101	0.0950027	1.54885	0.352141	0.655489	0.0697816	33.26175
60	-991.0935	-860.436	-130.6575	1.33877	0.534485	0.753533	2.643589	1.44411	0.628004	0.0774033	0.0259506	0.134759	0.00886784	0.252791	0.527461	0.0126319	0.688487	0.0952463	0.054072	0.0595273	0.210731	0.390525	0.113091	1.02357	0.251269	0.0417723	0.071622	1.06475	0.0783441	0.266287	0.445147	0.285501	0.073222	0.196827	0.267134	0.0408416	0.136112	0.324224	0.0312903	0.0748269	0.439158	0.100793	0.0494957	0.303417	0.797181	0.280373	0.0191909	0.0424273	0.780265	0.122565	0.41025	0.356578	0.0194855	0.637324	0.118157	0.567346	2.05874	0.0794034	0.113408	0.139659	0.0296212	0.195184	0.0494309	0.996755	0.552421	0.118956	0.135235	0.00285366	1.51978	0.0550055	0.368005	0.0473482	1.39567	0.0377054	0.0718993	1.69411	0.887914	0.068765	0.191895	0.172793	1.12227	0.323847	0.652366	0.373268	0.7196	0.0505278	28.66484
70	-988.4687	-861.8173	-126.6514	1.04314	0.581422	0.650617	3.124081	1.92279	0.64282	0.0206626	0.020724	0.505276	0.0102792	0.329685	0.720835	0.0255018	0.564242	0.0644361	0.0500912	0.0475331	0.225428	0.342924	0.0511511	1.0307	0.0791702	0.121407	0.055447	0.721296	0.119102	0.146905	0.342084	0.157726	0.0590101	0.0976554	0.584389	0.0596476	0.15965	0.307141	0.0315784	0.130763	0.186763	0.132528	0.0204822	0.512858	0.428262	0.29159	0.00849057	0.0417968	1.04524	0.0471387	0.147393	0.26186	0.0392039	0.639132	0.269403	0.522621	1.33327	0.267685	0.264247	0.174882	0.108653	0.250626	0.878477	0.728028	0.497604	0.0977803	0.0715192	0.0051393	1.73015	0.0228865	0.431424	0.0449001	0.714161	0.0557049	0.151701	1.24191	0.393621	0.113111	0.0619044	0.0835984	0.918959	0.255019	1.50004	0.297775	0.216549	0.0245097	27.27865
80	-992.1455	-860.5154	-131.6301	1.43078	0.55035	0.896832	2.95593	2.32326	0.790212	0.0539275	0.115475	0.379795	0.0344765	0.35508	0.98825	0.0175009	0.703099	0.0975563	0.0563906	0.0265412	0.369538	0.523015	0.109602	0.68169	0.0936145	0.0264326	0.114397	0.485262	0.2514	0.0597787	0.224479	0.0662895	0.0748435	0.134435	0.253592	0.0387349	0.111391	0.499154	0.0561751	0.290173	0.163458	0.258721	0.0676307	0.31787	0.586535	0.18098	0.0156602	0.025306	0.75727	0.0368108	0.221866	0.224308	0.00797625	0.731744	0.0737828	0.419884	1.24022	0.378408	0.297753	0.556794	0.0614562	1.18112	0.968989	0.197064	0.210581	0.213293	0.0763128	0.010714	1.01131	0.00466427	0.354055	0.0526905	0.517238	0.0488771	0.0288783	1.74926	0.915624	0.116681	0.063451	0.309628	1.60644	0.76883	0.7466	0.132422	0.490677	0.0381358	28.84353
90	-988.1151	-864.665	-123.4502	1.21413	0.522464	1.01727	2.672696	0.941053	0.448542	0.0262059	0.0800277	0.183032	0.0227431	0.947675	0.759805	0.012707	2.073	0.045088	0.202881	0.0501044	0.22995	0.366279	0.0586356	0.695633	0.0800486	0.102502	0.106534	0.879887	0.0240083	0.091547	0.272502	0.116969	0.219473	0.0904135	0.188584	0.0281051	0.236015	0.256744	0.0605519	0.545937	0.0967485	0.0755498	0.0258385	0.211633	0.462687	0.112159	0.0146395	0.0288287	0.714704	0.0192447	0.124284	0.371002	0.0406639	0.932703	0.117438	0.16489	1.87423	0.486809	0.309345	0.310859	0.0223419	0.486766	0.564034	0.150554	0.251151	0.292223	0.137752	0.00929249	1.01299	0.00252059	0.079636	0.136305	1.30226	0.0111734	0.0513564	0.419701	0.734751	0.0832126	0.127072	0.218831	0.795816	0.341282	0.942036	0.215593	0.545002	0.0588603	25.92996
