,RF,unRF,Magnitude
0,50,54,4
1,52,56,4
2,50,56,6
3,54,56,2
4,56,56,0
5,52,56,4
6,50,54,4
7,54,54,0
8,56,52,-4
9,54,56,2
10,50,56,6
11,54,54,0
12,52,56,4
13,52,54,2
14,56,56,0
15,52,56,4
16,50,56,6
17,54,56,2
18,54,54,0
19,52,56,4
20,52,56,4
21,56,54,-2
22,54,54,0
23,56,52,-4
24,56,56,0
25,52,56,4
26,54,52,-2
27,48,54,6
28,52,54,2
29,52,54,2
30,54,56,2
31,54,56,2
32,54,56,2
33,52,56,4
34,54,54,0
35,54,56,2
36,54,56,2
37,52,54,2
38,52,56,4
39,56,54,-2
40,54,56,2
41,54,56,2
42,56,56,0
43,52,56,4
44,52,54,2
45,52,54,2
46,54,56,2
47,52,54,2
48,52,56,4
49,56,54,-2
50,54,54,0
51,54,54,0
52,56,52,-4
53,54,56,2
54,56,56,0
55,50,52,2
56,56,56,0
57,54,56,2
58,52,56,4
59,56,56,0
60,54,56,2
61,50,56,6
62,54,54,0
63,56,54,-2
64,52,54,2
65,56,56,0
66,52,56,4
67,54,54,0
68,50,54,4
69,54,56,2
70,54,56,2
71,54,54,0
72,56,54,-2
73,52,54,2
74,52,54,2
75,56,52,-4
76,56,56,0
77,54,56,2
78,54,56,2
79,50,56,6
80,50,56,6
81,54,56,2
82,56,54,-2
83,52,54,2
84,54,54,0
85,54,52,-2
86,52,56,4
87,54,54,0
88,54,56,2
89,50,56,6
90,56,56,0
91,56,54,-2
92,52,54,2
93,54,54,0
94,54,56,2
95,54,56,2
96,50,54,4
97,56,54,-2
98,54,56,2
99,54,56,2
